index,age_upon_outcome,animal_id,animal_type,name,breed,color1,color2,date_of_birth,outcome_subtype,outcome_type,outcome_month,outcome_year
3270,3 months,A663693,Cat,*Zorro,domestic shorthair,black,,2013-06-30 00:00:00,Partner,Transfer,10,2013
3271,6 years,A666609,Cat,Peewee,domestic shorthair,blue,,2007-11-04 00:00:00,Partner,Transfer,11,2013
3272,0 years,A678822,Cat,,domestic shorthair,cream,,2014-05-13 00:00:00,Partner,Transfer,5,2014
3273,1 month,A685278,Cat,*Pistachio,domestic shorthair,black,white,2014-07-07 00:00:00,Partner,Transfer,8,2014
3274,3 months,A659617,Cat,*Alexei,domestic shorthair,brown,,2013-07-12 00:00:00,Offsite,Adoption,10,2013
3275,10 years,A686182,Cat,Sophie,domestic shorthair,white,brown,2004-08-21 00:00:00,,Return to Owner,8,2014
3276,1 year,A691100,Cat,Grayson,domestic shorthair,blue,white,2013-10-29 00:00:00,Partner,Transfer,10,2014
3277,3 months,A680730,Cat,*Biscuit,domestic mediumhair,Breed Specific,,2014-04-14 00:00:00,Foster,Adoption,8,2014
3278,2 months,A690580,Cat,Nala Faith,domestic shorthair,cream,,2014-08-22 00:00:00,,Adoption,11,2014
3279,2 years,A673886,Cat,,domestic shorthair,black,,2012-03-04 00:00:00,SCRP,Transfer,3,2014
3280,8 years,A670979,Cat,*Thunderkit,domestic longhair,gray,white,2006-01-23 00:00:00,,Adoption,2,2014
3281,4 weeks,A686938,Cat,,domestic shorthair,blue,,2014-07-29 00:00:00,Partner,Transfer,8,2014
3282,2 months,A685512,Cat,,domestic shorthair,brown,,2014-05-24 00:00:00,Partner,Transfer,8,2014
3283,1 year,A671105,Cat,,domestic longhair,black,,2013-01-18 00:00:00,SCRP,Transfer,1,2014
3284,2 years,A663690,Cat,Louise,domestic shorthair,Breed Specific,,2011-09-22 00:00:00,,Adoption,10,2013
3285,2 months,A662498,Cat,*Grace,domestic shorthair,Breed Specific,,2013-07-20 00:00:00,Partner,Transfer,10,2013
3286,11 months,A658786,Cat,Zena,domestic shorthair,Breed Specific,,2013-04-30 00:00:00,,Return to Owner,3,2014
3287,8 months,A692741,Cat,,domestic shorthair,black,,2014-03-24 00:00:00,SCRP,Transfer,11,2014
3288,1 year,A692529,Cat,Kerubina,domestic shorthair,Breed Specific,white,2013-11-22 00:00:00,Partner,Transfer,11,2014
3289,3 months,A684181,Cat,Sparks,domestic shorthair,black,,2014-05-29 00:00:00,,Adoption,9,2014
3290,4 months,A679506,Cat,,domestic shorthair,brown,,2014-01-21 00:00:00,,Adoption,6,2014
3291,1 year,A681467,Cat,,domestic shorthair,Breed Specific,,2013-06-17 00:00:00,SCRP,Transfer,6,2014
3292,7 months,A674240,Cat,,domestic shorthair,Breed Specific,,2013-07-10 00:00:00,SCRP,Transfer,3,2014
3293,4 months,A688513,Cat,Jasmine,siamese,lynx,,2014-05-20 00:00:00,,Adoption,9,2014
3294,2 months,A679778,Cat,*Beethoven,domestic shorthair,brown,,2014-04-28 00:00:00,Partner,Transfer,7,2014
3295,3 months,A685020,Cat,*Hadley,domestic shorthair,black,,2014-04-20 00:00:00,Partner,Transfer,8,2014
3296,3 weeks,A688601,Cat,,domestic shorthair,Breed Specific,,2014-08-30 00:00:00,Partner,Transfer,9,2014
3297,2 years,A676096,Cat,,domestic shorthair,white,black,2012-04-06 00:00:00,Partner,Transfer,4,2014
3298,10 years,A693387,Cat,,siamese,flame,,2004-12-07 00:00:00,In Kennel,Died,12,2014
3299,4 years,A669948,Cat,Patches,domestic shorthair,Breed Specific,,2009-12-30 00:00:00,,Adoption,1,2014
3300,1 year,A673285,Cat,,domestic shorthair,Breed Specific,white,2013-02-21 00:00:00,SCRP,Transfer,2,2014
3301,6 months,A687516,Cat,,domestic shorthair,orange,,2014-03-05 00:00:00,Partner,Transfer,9,2014
3302,2 years,A674589,Cat,,domestic shorthair,Breed Specific,,2012-03-15 00:00:00,SCRP,Transfer,3,2014
3303,4 months,A687829,Cat,*Elvis,domestic shorthair,brown,,2014-08-11 00:00:00,Foster,Adoption,12,2014
3304,2 months,A665398,Cat,Haven,domestic shorthair,white,blue,2013-08-19 00:00:00,,Adoption,11,2013
3305,2 years,A668661,Cat,Randy Quaid,domestic shorthair,white,black,2011-03-06 00:00:00,,Return to Owner,12,2013
3306,1 week,A682861,Cat,,domestic mediumhair,white,,2014-06-27 00:00:00,Partner,Transfer,7,2014
3307,3 months,A664370,Cat,,domestic mediumhair,white,black,2013-07-02 00:00:00,,Adoption,10,2013
3308,4 months,A672195,Cat,*Nutmeg,domestic shorthair,brown,,2014-01-29 00:00:00,Foster,Adoption,5,2014
3309,7 months,A670541,Cat,*Heidi,domestic shorthair,Breed Specific,,2013-06-09 00:00:00,Partner,Transfer,1,2014
3310,3 days,A678828,Cat,,domestic shorthair,brown,,2014-05-10 00:00:00,Partner,Transfer,5,2014
3311,2 weeks,A688317,Cat,,domestic shorthair,black,white,2014-08-30 00:00:00,Suffering,Euthanasia,9,2014
3312,2 weeks,A684385,Cat,,domestic shorthair,brown,,2014-07-08 00:00:00,Partner,Transfer,7,2014
3313,2 years,A692255,Cat,Kallie,domestic longhair,orange ,white,2012-11-17 00:00:00,,Return to Owner,11,2014
3314,2 months,A684182,Cat,,domestic shorthair,black,white,2014-05-29 00:00:00,,Adoption,8,2014
3315,2 years,A691789,Cat,Mimi,domestic shorthair,Breed Specific,,2012-11-09 00:00:00,,Adoption,12,2014
3316,3 weeks,A684868,Cat,,domestic shorthair,brown,,2014-07-07 00:00:00,Partner,Transfer,7,2014
3317,1 year,A654275,Cat,Maddox,domestic shorthair,black,white,2013-04-11 00:00:00,Partner,Transfer,5,2014
3318,2 months,A666330,Cat,,domestic shorthair,brown,,2013-08-30 00:00:00,,Adoption,11,2013
3319,2 months,A687554,Cat,*Tony,domestic mediumhair,brown ,white,2014-08-06 00:00:00,Partner,Transfer,10,2014
3320,3 years,A679275,Cat,,domestic mediumhair,brown,,2011-05-18 00:00:00,SCRP,Transfer,5,2014
3321,1 month,A676150,Cat,*Bobby,domestic shorthair,black,,2014-02-18 00:00:00,Partner,Transfer,4,2014
3322,1 year,A684446,Cat,,domestic shorthair,black,white,2013-07-23 00:00:00,SCRP,Transfer,7,2014
3323,2 months,A675515,Cat,,domestic mediumhair,brown,,2014-03-21 00:00:00,Foster,Adoption,5,2014
3324,8 months,A670789,Cat,,domestic longhair,orange,,2013-05-14 00:00:00,SCRP,Transfer,1,2014
3325,2 years,A682922,Cat,,domestic shorthair,Breed Specific,,2012-07-04 00:00:00,Suffering,Euthanasia,12,2014
3326,3 weeks,A685440,Cat,,domestic shorthair,brown ,white,2014-07-16 00:00:00,Partner,Transfer,8,2014
3327,2 years,A642201,Cat,Sam,domestic shorthair,orange,,2012-09-04 00:00:00,,Adoption,11,2014
3328,2 months,A667337,Cat,*Pechula,domestic shorthair,Breed Specific,white,2013-09-16 00:00:00,Partner,Transfer,12,2013
3329,2 years,A671939,Cat,Twitch,domestic shorthair,brown,,2012-02-01 00:00:00,,Adoption,2,2014
3330,3 years,A687668,Cat,,domestic shorthair,brown ,white,2011-09-08 00:00:00,SCRP,Transfer,9,2014
3331,1 year,A669326,Cat,Turbo,domestic longhair,cream,,2012-12-18 00:00:00,Suffering,Euthanasia,12,2013
3332,7 months,A678472,Cat,,domestic shorthair,Breed Specific,,2013-09-09 00:00:00,SCRP,Transfer,5,2014
3333,2 months,A689098,Cat,*Phantom,domestic shorthair,black,,2014-07-22 00:00:00,,Adoption,10,2014
3334,2 years,A674960,Cat,,domestic shorthair,brown,,2012-03-20 00:00:00,SCRP,Transfer,3,2014
3335,2 months,A690043,Cat,*Jack,domestic mediumhair,orange ,white,2014-09-06 00:00:00,,Adoption,11,2014
3336,2 months,A662218,Cat,*Newton,domestic mediumhair,blue,,2013-08-12 00:00:00,Foster,Adoption,10,2013
3337,2 months,A678798,Cat,*Jaime,domestic shorthair,orange,,2014-04-12 00:00:00,Foster,Adoption,7,2014
3338,1 weeks,A680706,Cat,,domestic shorthair,black,white,2014-05-28 00:00:00,Partner,Transfer,6,2014
3339,2 months,A668319,Cat,Gizmo,domestic shorthair,blue,white,2013-09-10 00:00:00,,Adoption,12,2013
3340,3 weeks,A686998,Cat,,domestic shorthair,blue,,2014-08-08 00:00:00,Partner,Transfer,8,2014
3341,4 weeks,A688928,Cat,,domestic shorthair,orange,,2014-08-26 00:00:00,Partner,Transfer,9,2014
3342,9 years,A693443,Cat,*Walter,domestic shorthair,blue ,white,2005-12-08 00:00:00,Partner,Transfer,12,2014
3343,1 year,A679482,Cat,,domestic shorthair,brown,,2013-05-21 00:00:00,SCRP,Transfer,5,2014
3344,2 months,A685076,Cat,*Petey,domestic shorthair,orange,,2014-07-01 00:00:00,Foster,Adoption,9,2014
3345,6 months,A669007,Cat,*Shrek,domestic longhair,black,,2013-06-12 00:00:00,Partner,Transfer,12,2013
3346,1 weeks,A687945,Cat,,domestic shorthair,black,,2014-09-01 00:00:00,Partner,Transfer,9,2014
3347,2 months,A690711,Cat,*Fuego,domestic mediumhair,orange ,white,2014-08-18 00:00:00,,Adoption,11,2014
3348,2 months,A686942,Cat,,domestic shorthair,orange ,white,2014-06-29 00:00:00,,Adoption,9,2014
3349,3 days,A682470,Cat,,domestic shorthair,blue,,2014-06-25 00:00:00,Partner,Transfer,6,2014
3350,1 year,A670320,Cat,Flower Pot,domestic shorthair,orange,,2013-01-05 00:00:00,,Adoption,1,2014
3351,3 weeks,A668478,Cat,,domestic shorthair,cream ,white,2013-11-12 00:00:00,Partner,Transfer,12,2013
3352,8 years,A687026,Cat,Cindy Lou,persian,silver,,2006-08-30 00:00:00,Foster,Adoption,10,2014
3353,1 month,A682507,Cat,,domestic shorthair,Breed Specific,,2014-05-28 00:00:00,Partner,Transfer,7,2014
3354,4 months,A667320,Cat,*Thumper,domestic shorthair,brown ,white,2013-07-16 00:00:00,,Adoption,12,2013
3355,1 month,A689157,Cat,*Azul,domestic shorthair,blue,,2014-08-23 00:00:00,Partner,Transfer,10,2014
3356,6 months,A658351,Cat,*Rocky,domestic shorthair,black,white,2013-06-03 00:00:00,Foster,Adoption,12,2013
3357,2 years,A671682,Cat,,domestic shorthair,blue,,2012-01-29 00:00:00,SCRP,Transfer,1,2014
3358,4 weeks,A690793,Cat,*Button,domestic shorthair,black,,2014-09-26 00:00:00,Partner,Transfer,10,2014
3359,2 weeks,A674520,Cat,,domestic shorthair,brown,,2014-02-27 00:00:00,Partner,Transfer,3,2014
3360,4 months,A687258,Cat,Chiquita,domestic shorthair,brown,,2014-05-02 00:00:00,,Adoption,9,2014
3361,2 years,A667277,Cat,Sylvester,domestic shorthair,black,white,2011-11-15 00:00:00,,Return to Owner,10,2014
3362,3 weeks,A687733,Cat,,domestic shorthair,Breed Specific,,2014-08-18 00:00:00,Partner,Transfer,9,2014
3363,2 years,A690157,Cat,Raccoon,snowshoe,seal,,2012-10-15 00:00:00,,Adoption,10,2014
3364,1 year,A683214,Cat,X,domestic shorthair,blue ,white,2013-07-08 00:00:00,Partner,Transfer,7,2014
3365,2 months,A673606,Cat,Gracie,domestic shorthair,blue,,2013-12-22 00:00:00,,Adoption,3,2014
3366,4 weeks,A666875,Cat,,domestic shorthair,blue,,2013-10-08 00:00:00,Partner,Transfer,11,2013
3367,1 year,A675021,Cat,,domestic shorthair,Breed Specific,,2013-03-21 00:00:00,Suffering,Euthanasia,3,2014
3368,1 month,A684969,Cat,Pearl,siamese,seal,,2014-06-25 00:00:00,,Adoption,8,2014
3369,3 weeks,A689577,Cat,,domestic shorthair,blue,,2014-09-14 00:00:00,Partner,Transfer,10,2014
3370,3 months,A666451,Cat,*Peppermint,domestic shorthair,brown,,2013-09-24 00:00:00,Foster,Adoption,1,2014
3371,2 months,A692624,Cat,*Mattie,domestic shorthair,brown ,white,2014-10-08 00:00:00,,Adoption,12,2014
3372,2 days,A686366,Cat,,domestic shorthair,blue ,white,2014-08-18 00:00:00,Partner,Transfer,8,2014
3373,6 years,A680988,Cat,,domestic shorthair,brown ,white,2008-06-10 00:00:00,SCRP,Transfer,6,2014
3374,1 year,A668408,Cat,Eberhart,domestic shorthair,lynx ,gray,2012-12-03 00:00:00,SCRP,Transfer,12,2013
3375,3 weeks,A686122,Cat,,domestic shorthair,brown,,2014-07-25 00:00:00,Partner,Transfer,8,2014
3376,1 month,A682558,Cat,,snowshoe,blue,,2014-05-22 00:00:00,Partner,Transfer,6,2014
3377,1 year,A674230,Cat,,domestic mediumhair,blue ,white,2013-03-10 00:00:00,SCRP,Transfer,3,2014
3378,2 months,A678452,Cat,*Jones,domestic shorthair,black,,2014-04-02 00:00:00,Foster,Adoption,6,2014
3379,2 months,A692237,Cat,*Sasha,domestic shorthair,Breed Specific,,2014-10-07 00:00:00,,Adoption,12,2014
3380,3 weeks,A686563,Cat,,domestic shorthair,brown ,white,2014-08-01 00:00:00,Partner,Transfer,8,2014
3381,1 month,A662553,Cat,Moose,domestic shorthair,Breed Specific,,2013-08-28 00:00:00,,Adoption,10,2013
3382,10 months,A688299,Cat,*Montgomery,domestic shorthair,brown ,white,2013-11-17 00:00:00,SCRP,Transfer,9,2014
3383,2 weeks,A679186,Cat,,domestic shorthair,white,gray,2014-05-02 00:00:00,Partner,Transfer,5,2014
3384,1 year,A671534,Cat,Stella,snowshoe,seal ,white,2013-01-26 00:00:00,,Adoption,2,2014
3385,2 months,A665361,Cat,*Jock,domestic shorthair,orange,,2013-08-16 00:00:00,Partner,Transfer,10,2013
3386,3 weeks,A687830,Cat,,domestic shorthair,orange,,2014-08-19 00:00:00,Partner,Transfer,9,2014
3387,3 weeks,A673862,Cat,,domestic shorthair,black,white,2014-02-09 00:00:00,Partner,Transfer,3,2014
3388,1 month,A688208,Cat,*Blynken,domestic shorthair,brown ,white,2014-08-16 00:00:00,Partner,Transfer,9,2014
3389,2 months,A680698,Cat,*Greta,domestic shorthair,Breed Specific,,2014-04-06 00:00:00,,Adoption,6,2014
3390,3 years,A689512,Cat,,domestic mediumhair,buff,,2011-10-05 00:00:00,Suffering,Euthanasia,10,2014
3391,2 months,A665580,Cat,,domestic shorthair,black,,2013-08-19 00:00:00,,Adoption,10,2013
3392,1 month,A684059,Cat,,domestic shorthair,orange,,2014-06-03 00:00:00,Suffering,Euthanasia,7,2014
3393,3 months,A684608,Cat,*Button,domestic shorthair,black,white,2014-06-26 00:00:00,Foster,Adoption,10,2014
3394,1 year,A682484,Cat,,domestic shorthair,Breed Specific,,2013-06-28 00:00:00,Partner,Transfer,6,2014
3395,4 weeks,A681361,Cat,,domestic shorthair,brown,,2014-05-16 00:00:00,Partner,Transfer,6,2014
3396,10 years,A661648,Cat,K,domestic shorthair,brown,,2003-08-23 00:00:00,Foster,Adoption,3,2014
3397,4 weeks,A677484,Cat,,domestic shorthair,black,,2014-03-25 00:00:00,Partner,Transfer,4,2014
3398,3 weeks,A664261,Cat,,domestic shorthair,Breed Specific,,2013-09-10 00:00:00,Partner,Transfer,10,2013
3399,4 weeks,A677471,Cat,*Sage,domestic shorthair,brown ,white,2014-03-25 00:00:00,Partner,Transfer,4,2014
3400,10 months,A692063,Cat,,domestic shorthair,orange,,2014-01-13 00:00:00,SCRP,Transfer,11,2014
3401,3 years,A678367,Cat,Daisy,angora,Breed Specific,,2011-05-08 00:00:00,Partner,Transfer,8,2014
3402,3 years,A682613,Cat,George,domestic shorthair,black,white,2011-06-30 00:00:00,Partner,Transfer,7,2014
3403,2 months,A664192,Cat,*Jenna,domestic shorthair,brown,,2013-08-08 00:00:00,Partner,Transfer,10,2013
3404,1 month,A678380,Cat,*Jess,domestic shorthair,Breed Specific,,2014-03-22 00:00:00,Partner,Transfer,5,2014
3405,4 months,A658728,Cat,*Tori,domestic mediumhair,Breed Specific,white,2013-07-07 00:00:00,,Adoption,11,2013
3406,3 months,A661697,Cat,Timmy,domestic shorthair,brown,,2013-07-16 00:00:00,Partner,Transfer,10,2013
3407,4 days,A686623,Cat,,domestic shorthair,Breed Specific,,2014-08-20 00:00:00,Partner,Transfer,8,2014
3408,5 years,A691432,Cat,,domestic shorthair,black,white,2009-11-04 00:00:00,SCRP,Transfer,11,2014
3409,2 months,A693925,Cat,,siamese,seal,,2014-10-16 00:00:00,,Adoption,12,2014
3410,3 months,A678028,Cat,,domestic shorthair,brown ,white,2014-02-02 00:00:00,Partner,Transfer,5,2014
3411,3 years,A683243,Cat,*Madison,snowshoe,lilac,,2011-07-08 00:00:00,,Adoption,7,2014
3412,4 weeks,A681230,Cat,,domestic shorthair,black,,2014-05-14 00:00:00,Partner,Transfer,6,2014
3413,1 year,A688631,Cat,,domestic shorthair,black,,2013-09-21 00:00:00,SCRP,Transfer,9,2014
3414,3 months,A685105,Cat,*Tero,domestic shorthair,black,,2014-04-17 00:00:00,Partner,Transfer,8,2014
3415,3 months,A685335,Cat,,domestic shorthair,black,,2014-05-05 00:00:00,SCRP,Transfer,8,2014
3416,2 months,A689134,Cat,,domestic shorthair,Breed Specific,,2014-07-29 00:00:00,,Adoption,10,2014
3417,3 months,A667852,Cat,*Biscuit,domestic shorthair,black,white,2013-09-07 00:00:00,,Adoption,12,2013
3418,4 months,A688052,Cat,,domestic shorthair,brown,,2014-05-13 00:00:00,SCRP,Transfer,9,2014
3419,20 years,A692485,Cat,,domestic shorthair,brown ,white,1994-11-21 00:00:00,Suffering,Euthanasia,11,2014
3420,2 months,A689416,Cat,Moo,domestic shorthair,black,white,2014-07-28 00:00:00,,Adoption,10,2014
3421,1 month,A678092,Cat,,domestic shorthair,white,orange,2014-04-07 00:00:00,,Adoption,6,2014
3422,2 months,A682483,Cat,*Penny,domestic shorthair,Breed Specific,white,2014-05-13 00:00:00,Foster,Adoption,8,2014
3423,2 months,A672823,Cat,Dale,domestic mediumhair,black,,2014-01-11 00:00:00,Foster,Adoption,3,2014
3424,3 weeks,A681327,Cat,,domestic longhair,brown,,2014-05-21 00:00:00,Partner,Transfer,6,2014
3425,8 months,A664003,Cat,*Knight,domestic shorthair,Breed Specific,,2013-03-27 00:00:00,,Adoption,11,2013
3426,4 months,A687718,Cat,Cali,domestic shorthair,Breed Specific,,2014-05-09 00:00:00,,Adoption,9,2014
3427,1 month,A683137,Cat,Batman,domestic shorthair,black,,2014-05-16 00:00:00,,Adoption,7,2014
3428,4 years,A689940,Cat,Wilma,american shorthair,Breed Specific,,2010-10-11 00:00:00,Partner,Transfer,10,2014
3429,1 year,A672623,Cat,,domestic mediumhair,brown,,2012-08-13 00:00:00,SCRP,Transfer,2,2014
3430,5 months,A668276,Cat,Gracie,domestic shorthair,black,,2013-07-01 00:00:00,,Adoption,12,2013
3431,1 month,A685122,Cat,*Dally,domestic shorthair,black,white,2014-07-02 00:00:00,Partner,Transfer,8,2014
3432,5 years,A683973,Cat,,russian blue,blue,,2009-07-17 00:00:00,Suffering,Euthanasia,7,2014
3433,2 months,A667576,Cat,*Meg,domestic shorthair,black,,2013-10-20 00:00:00,Partner,Transfer,12,2013
3434,4 weeks,A690618,Cat,,domestic shorthair,black,,2014-09-23 00:00:00,Suffering,Euthanasia,10,2014
3435,1 year,A680487,Cat,,domestic shorthair,Breed Specific,,2013-06-03 00:00:00,SCRP,Transfer,6,2014
3436,2 months,A681938,Cat,*Martha,domestic shorthair,Breed Specific,,2014-05-06 00:00:00,Suffering,Euthanasia,7,2014
3437,2 months,A683707,Cat,Petals,domestic longhair,white,black,2014-06-08 00:00:00,,Adoption,8,2014
3438,3 months,A686667,Cat,*Doug,domestic shorthair,brown ,white,2014-05-18 00:00:00,,Adoption,9,2014
3439,1 year,A689918,Cat,,domestic shorthair,brown ,white,2013-10-11 00:00:00,SCRP,Transfer,10,2014
3440,10 years,A689525,Cat,Snowball,domestic shorthair,white,,2004-10-05 00:00:00,,Adoption,10,2014
3441,2 months,A679188,Cat,Seven,domestic shorthair,brown,,2014-03-17 00:00:00,,Adoption,5,2014
3442,3 months,A669115,Cat,*Perfect,domestic shorthair,blue ,blue cream,2013-09-14 00:00:00,SCRP,Transfer,12,2013
3443,1 month,A683453,Cat,*Corey,domestic shorthair,brown,,2014-05-26 00:00:00,Partner,Transfer,7,2014
3444,2 months,A690087,Cat,*Dinah,domestic shorthair,black,,2014-08-07 00:00:00,Partner,Transfer,10,2014
3445,8 years,A687841,Cat,Sunset,domestic shorthair,cream,,2006-09-10 00:00:00,,Adoption,10,2014
3446,3 years,A677734,Cat,Angel,ragdoll,lynx,,2011-04-28 00:00:00,Partner,Transfer,5,2014
3447,2 days,A677105,Cat,,domestic shorthair,black,,2014-04-17 00:00:00,Partner,Transfer,4,2014
3448,6 months,A677112,Cat,*Jazzy,domestic shorthair,Breed Specific,,2013-10-19 00:00:00,Partner,Transfer,5,2014
3449,2 years,A687053,Cat,Zoe,snowshoe,seal ,white,2012-08-30 00:00:00,Partner,Transfer,9,2014
3450,2 weeks,A688101,Cat,,domestic shorthair,brown,,2014-08-30 00:00:00,Partner,Transfer,9,2014
3451,4 months,A682803,Cat,,domestic shorthair,brown ,white,2014-02-16 00:00:00,SCRP,Transfer,7,2014
3452,3 months,A693881,Cat,Cesar,domestic shorthair,orange ,white,2014-09-16 00:00:00,Partner,Transfer,12,2014
3453,8 years,A688496,Cat,Oliver,domestic longhair,white,orange,2006-09-20 00:00:00,,Adoption,9,2014
3454,1 month,A680553,Cat,,domestic longhair,brown ,white,2014-04-12 00:00:00,,Adoption,6,2014
3455,2 days,A687419,Cat,,domestic shorthair,black,,2014-09-02 00:00:00,Partner,Transfer,9,2014
3456,2 months,A690532,Cat,Mcgregor,domestic shorthair,cream ,white,2014-08-27 00:00:00,,Adoption,11,2014
3457,1 year,A672266,Cat,Monroe,domestic mediumhair,black,white,2013-02-06 00:00:00,,Return to Owner,2,2014
3458,6 months,A669173,Cat,,burmese,chocolate,,2013-06-16 00:00:00,,Adoption,12,2013
3459,3 years,A633968,Cat,Jones,domestic shorthair,white,,2010-08-03 00:00:00,Partner,Transfer,11,2013
3460,3 days,A682466,Cat,,domestic shorthair,black,white,2014-06-25 00:00:00,Partner,Transfer,6,2014
3461,10 years,A674741,Cat,,domestic shorthair,orange,,2004-03-17 00:00:00,,Return to Owner,3,2014
3462,1 month,A683437,Cat,,domestic shorthair,brown,,2014-05-21 00:00:00,Partner,Transfer,7,2014
3463,4 days,A682740,Cat,,domestic shorthair,brown,,2014-06-28 00:00:00,Partner,Transfer,7,2014
3464,2 months,A666045,Cat,*Nick Fury,domestic shorthair,black,,2013-08-11 00:00:00,Partner,Transfer,10,2013
3465,2 months,A682404,Cat,Kyle,domestic shorthair,cream ,white,2014-05-21 00:00:00,,Adoption,8,2014
3466,1 year,A684796,Cat,,domestic shorthair,brown ,white,2013-07-28 00:00:00,SCRP,Transfer,7,2014
3467,8 months,A678763,Cat,Snowflake,siamese,lynx,,2013-09-12 00:00:00,,Adoption,5,2014
3468,4 months,A688005,Cat,Samhain,domestic shorthair,black,,2014-05-21 00:00:00,,Adoption,9,2014
3469,7 years,A676735,Cat,Oscar,domestic shorthair,black,,2007-04-14 00:00:00,Suffering,Euthanasia,4,2014
3470,2 years,A641250,Cat,*Rocky,domestic longhair,brown,,2012-09-13 00:00:00,Suffering,Euthanasia,11,2014
3471,1 year,A692167,Cat,,domestic longhair,black,white,2013-11-15 00:00:00,SCRP,Transfer,11,2014
3472,1 month,A665086,Cat,*Howie,domestic shorthair,brown ,white,2013-09-13 00:00:00,Partner,Transfer,11,2013
3473,4 months,A662781,Cat,*John,domestic shorthair,brown,,2013-06-08 00:00:00,Partner,Transfer,10,2013
3474,0 years,A676306,Cat,,domestic shorthair,white,blue,2014-04-07 00:00:00,Partner,Transfer,4,2014
3475,4 months,A664448,Cat,,domestic shorthair,blue,,2013-06-03 00:00:00,SCRP,Transfer,10,2013
3476,2 months,A691225,Cat,*Rose,domestic shorthair,Breed Specific,,2014-09-02 00:00:00,,Adoption,11,2014
3477,5 months,A665760,Cat,,domestic shorthair,orange ,white,2013-05-22 00:00:00,,Return to Owner,10,2013
3478,2 years,A681664,Cat,*Minnie,domestic mediumhair,Breed Specific,white,2012-06-19 00:00:00,Partner,Transfer,8,2014
3479,3 years,A688665,Cat,Petra,domestic shorthair,black,white,2011-09-22 00:00:00,,Adoption,10,2014
3480,4 weeks,A678026,Cat,,domestic shorthair,brown,,2014-04-02 00:00:00,Partner,Transfer,5,2014
3481,3 years,A677900,Cat,Steve,domestic shorthair,black,,2011-04-30 00:00:00,,Adoption,6,2014
3482,2 months,A680714,Cat,Penelope Ros,domestic longhair,orange,,2014-04-29 00:00:00,Foster,Adoption,7,2014
3483,2 months,A680255,Cat,*Carlo,domestic shorthair,cream,,2014-05-01 00:00:00,Foster,Adoption,7,2014
3484,3 months,A683296,Cat,*Tinman,domestic mediumhair,brown ,white,2014-05-26 00:00:00,Foster,Adoption,9,2014
3485,3 weeks,A676929,Cat,,domestic shorthair,Breed Specific,,2014-03-26 00:00:00,Partner,Transfer,4,2014
3486,2 months,A688106,Cat,,domestic shorthair,black,,2014-07-14 00:00:00,,Adoption,9,2014
3487,2 months,A683665,Cat,,domestic shorthair,white,brown,2014-06-22 00:00:00,Foster,Adoption,8,2014
3488,13 years,A678856,Cat,Eboni,domestic longhair,black,,2001-05-13 00:00:00,Foster,Adoption,6,2014
3489,2 months,A684970,Cat,*Tiny,siamese,lynx,,2014-06-25 00:00:00,,Adoption,9,2014
3490,6 months,A691979,Cat,,domestic shorthair,white,brown,2014-05-13 00:00:00,Suffering,Euthanasia,11,2014
3491,1 year,A686105,Cat,,domestic shorthair,orange,,2013-08-16 00:00:00,SCRP,Transfer,8,2014
3492,3 weeks,A688615,Cat,,domestic shorthair,black,,2014-08-28 00:00:00,Partner,Transfer,9,2014
3493,0 years,A678819,Cat,,domestic shorthair,brown,,2014-05-13 00:00:00,Partner,Transfer,5,2014
3494,3 weeks,A689095,Cat,,domestic shorthair,blue,,2014-09-07 00:00:00,Partner,Transfer,9,2014
3495,1 year,A682691,Cat,,domestic shorthair,brown,,2013-07-01 00:00:00,SCRP,Transfer,7,2014
3496,4 months,A670602,Cat,Beauty,domestic shorthair,black,white,2013-09-10 00:00:00,,Return to Owner,1,2014
3497,8 years,A685699,Cat,Fuzz,domestic shorthair,black,,2006-08-11 00:00:00,Foster,Adoption,10,2014
3498,5 months,A684762,Cat,Apollo,siamese,flame,,2014-02-28 00:00:00,,Adoption,8,2014
3499,2 weeks,A689693,Cat,,domestic shorthair,cream,,2014-09-23 00:00:00,Partner,Transfer,10,2014
3500,3 weeks,A684368,Cat,,domestic shorthair,brown ,white,2014-07-01 00:00:00,Partner,Transfer,7,2014
3501,3 months,A689586,Cat,Clio,domestic shorthair,blue ,white,2014-07-06 00:00:00,,Adoption,10,2014
3502,1 weeks,A687594,Cat,,domestic shorthair,brown ,white,2014-08-29 00:00:00,Partner,Transfer,9,2014
3503,12 years,A692138,Cat,Malcolm,domestic shorthair,gray ,white,2002-04-01 00:00:00,,Return to Owner,12,2014
3504,2 months,A666035,Cat,Boo,domestic shorthair,black,,2013-08-06 00:00:00,,Adoption,10,2013
3505,1 weeks,A684278,Cat,,manx,orange ,white,2014-07-16 00:00:00,Partner,Transfer,7,2014
3506,3 months,A689076,Cat,,domestic shorthair,blue ,white,2014-06-29 00:00:00,SCRP,Transfer,9,2014
3507,1 week,A664236,Cat,,domestic shorthair,orange,white,2013-09-24 00:00:00,Partner,Transfer,10,2013
3508,2 months,A689956,Cat,*Halifax,domestic shorthair,brown,,2014-08-27 00:00:00,Foster,Adoption,11,2014
3509,1 year,A666085,Cat,*Izzy,domestic shorthair,brown,,2012-10-26 00:00:00,Partner,Transfer,12,2013
3510,2 months,A683926,Cat,,domestic mediumhair,Breed Specific,,2014-05-02 00:00:00,,Adoption,7,2014
